#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
𠏮,亻寸 rc,亻寸 rc,亻寸 rc,亻對rd,亻寸 jk,wo,,,
𠜑,八刂 bd,八刂 bd,丷刂 bd,兑刂dd,八刂 hp,wk,,,
𠡒,丿力 pl,丿力 pl,丿力 pl,.ld,丿力 ts,wn,,,
𠦗,. uy,十㠯 ul, uk,.uy,十㠯 nk,fn,,,
𠫨,厶凡 sf,厶凡 sf,厶凡 sf,.lf,厶丶 ki,cc,,,
𡁨,业口 yk,业口 yk,业口 yk,口對kd,业口 cd,og,,,
𡏩,. dz,丿人 pr, pt,.dz,丿土 tg,wn,,,
𡑈,. id,千㠯 ql, ik,.id,千㠯 lk,tg,,,
𡜥,. nd,女㠯 nl, nk,.nd,女㠯 bk,vw,,,
𡷋,. ud,山儿 ue,𧾷貝 ee,.ud,山儿 vp,mw,,,
𡼻,千㠯 ql,千㠯 ql, pk,,千㠯 lk,tg,,,
𢆻,幺几 yj,幺几 yj,幺几 yj,幺几yj,幺几 io,xx,,,
𢈹,广十 gu,广十 gu,广十 gu,.gb,广十 xn,yw,,,
𢟋,心追 xv,忄㠯 xl, xz,心追xv,忄辶 hu,nw,,,
𣝉,木寸 mc,木寸 mc,木寸 mc,木對md,木寸 ek,so,,,
𣪌,殳豆 ud,豆殳 du, ay,殳豆ud,豆殳 zr,gk,,,
𤄛,氵魋 dt,氵{隹右} dv, df,氵魋dt,氵隹 ku,ir,,,
𤤷,. wd,𤣩㠯 wl, wk,.wd,王㠯 nk,gw,,,
𤧫,王追 wv,𤣩㠯 wl," wk,wz",王追wv,王辶 nu,gw,,,
𤮩,亠瓦 ww,亠瓦 ww,⻖方 ww,.wx,瓦 gr,yj,,,
𤷎,疒十 bu,疒十 bu,疒十 bu,.bb｜疒阜bf,疒十 an,uw,,,
𤹵,疒寸 bc,疒寸 bc,疒寸 bc,疒專bv,疒寸 ak,ug,,,
𥑵,. ud,石㠯 ul, uk,.ud,石㠯 mk,dw,,,
𥹲,米兑 md,米兄 mx, me,米兑md,米儿 pp,ou,,,
𦞱,肉鬼 rg,肉鬼 rg,内鬼 ng,肉鬼rg,冂鬼 ma,mw,,,
𦡷,⺼寸 oc,⺼寸 oc,⺼寸 oc,月對od,月寸 vk,eo,,,
𦶏,艹隹 cv,艹{隹右} cv, cf,.cd｜艹隹cv,⺿隹 lu,ab,,,
𧧆,. yd,訁㠯 yl, wk,.yd,言㠯 sk,yw,,,
𨬍,金月 jo,金月 jo,金月 jo,金隋js,金⺼ zv,qb,,,
𨹅,. ed,⻖㠯 el, ek,.ed,阝㠯 tk,bw,,,
𩄮,雨退 yt,雨艮 yg, yz,雨退yt,辶 tu,fv,,,
𩅆,雨夂 yw,雨夂 yw, yz,雨夂yw,辶 tu,fj,,,
𩅥,雨豕 yu,雨豕 yu,雨豕 yu,雨隊yd,豕 tj,fb,,,
𩅲,雨豕 yu,雨豕 yu,雨豕 yu,.ys,豕 tj,fm,,,
𩈁,⻖非 ef,⻖非 ef,⻖非 ef,非隊fd｜隊非df,阝非 tr,bu,,,
𩈜,. md,面㠯 ml, mk,.md,面㠯 bk,dm,,,
𩊭,革兑 gd,革兄 gx, ge,革兑gd,革儿 tp,af,,,
𩐌,⻖韭 ej,⻖韭 ej,⻖韭 ej,韭隊jd｜隊韭dj,阝一 tf,bu,,,
𩜀,食垂 ui,飠士 ut, ri,食垂ui,士 qg,wy,,,
𩨽,. gd,冎㠯 gl,土⻏ gk,.gd,㠯 fk,me,,,
𪌤,. md,來㠯 ll, lk,.md,木㠯 ek,sw,,,
𪒛,黑隊 hd,{里}豕 lu,黑豕 hu,黑隊hd,黑豕 pj,lf,,,
墫,土寸 tc,土寸 tc,土寸 tc,土尊tz,土寸 gk,fu,,土丶 td,
楯,木目 mo,木目 mo,木目 mo,木盾md,木目 eq,sr,木目 lm,木丿 mp,木丿mp
燉,火攵 hw,火攵 hw,火攵 hw,火敦hd,火攵 ch,oy,,火丶 qd,
頓,頁屯 yt,屯頁 ty, tb,頁屯yt,一頁 fw,gb,,一一 hh,
遯,辶豕 zu,辶豕 zu,辶豕 zu,辶豚zt,月辶 vu,ee,,月辶 yz,
噸,口頓 kd,口頁 ky,口貝 kb,口頓kd,口頁 dw,kg,,口一 kh,
坉,土屯 tt,土屯 tt,土屯 tt,土屯tt,土 gs,fg,土屯 tt,土一 th,土一th
鈍,金屯 jt,金屯 jt,土巾 jt,金屯jt,金 zs,qg,,钅一 jh,
伅,亻屯 rt,亻屯 rt,亻屯 rt,亻屯rt,亻 js,wg,,人一 rh,
躉,足萬 zw,艹足 cz, cr,足萬zw,艹足 lp,aj,,艹⻊ cz,
逇,辶也 zy,辶也 zy,辶也 zy,辶地zd,土辶 gu,fb,,土辶 tz,
潡,氵攵 dw,氵攵 dw,氵攵 dw,氵敦dd,氵攵 kh,iy,,氵丶 ud,
忳,心屯 xt,忄屯 xt,忄屯 xt,心屯xt,忄 hs,ng,忄屯 xt,忄一 xh,忄一xh
撴,扌攵 fw,扌攵 fw,扌攵 fw,扌敦fd,扌攵 uh,ry,,扌丶 fd,
橔,木攵 mw,木攵 mw,木攵 mw,木敦md,木攵 eh,sy,,木丶 md,
㬿,月攵 ow,月攵 ow,月攵 ow,月敦od,月攵 vh,ey,,,
䤜,. jy,金{⿻𠤎一} jb, jv,.jy,金七 zr,qt,,,
墪,亠土 wt,亠土 wt, wt,土敦td,土 gg,yb,,丶土 dt,
庉,广屯 gt,广屯 gt,扌⻏ gt,广屯gt,广 xs,yg,,丶乛 dv,
撉,亠手 wu,亠手 wu,扌八 wu,手敦ud,手 gu,yb,,丶扌 df,
犜,牜攵 nw,牜攵 nw, nw,牛敦nd,牜攵 qh,tr,,丿丶 pd,
獤,犭攵 qw,犭攵 qw,禾口 qw,犭敦qd,犭攵 mh,qt,,丿丶 pd,
碷,石目 uo,石目 uo, uo,石盾ud,石目 mq,dr,,一丿 hp,
蜳,虫子 iz,虫子 iz, iz,虫享ix,虫子 ch,jy,,虫丶 od,
踲,𧾷目 zo,𧾷目 zo, zo,足盾zd,⻊目 pq,kh,,⻊丿 zp,
驐,馬攵 mw,馬攵 mw,丰巴 mw,馬敦md,馬攵 nh,cy,,一丶 hd,
𠎻,亻遁 rd,亻目 ro,土革 rz,亻遁rd,亻辶 ju,wr,,,
𡆰,囗二 ke,囗{⿻𠤎一} kb,扌⻏ kv,囗二ke,囗も rv,lf,,,
𡼖,敦山 du,亠山 wu, we,山敦ud｜敦山du,山 gv,yb,,,
𢬼,. ft,扌屯 ft, fk,.ft｜扌囤fd,扌 us,rl,,,
𣎴,. yg,一丨 al, an,.xr｜.yr｜.yg,𣎴 cb,gi,,,
𣗁,石石 uu,石石 uu,石石 uu,石柘uv,𠂇石 nm,ds,,,
𣚪,木一 ma,木止 mv, ma,木一ma｜.mv｜.my,木止 es,sy,,,
𣞇,木言 my,訁木 ym, wk,言言yy｜木言my,言言 ss,ys,,,
𤟢,盾犬 dq,𠂆犬 iq, pq,犬盾qd｜盾犬dq,⺁犬 xm,rf,,,
𤭞,亠瓦 ww,亠瓦 ww,亠瓦 ww,瓦享wx｜享瓦xw,瓦 gr,yb,,,
𥂦,亠皿 wm,亠皿 wm,亠皿 wm,皿敦md｜敦皿dm,皿 ga,yb,,,
𥫬,𥫗一 va,竹{⿻𠤎一} vb,扌八 vv,𥫗一va,⺮七 rr,tt,,,
𥫱,𥫗屯 vt,竹屯 vt,竹屯 vt,𥫗屯vt,⺮ rs,tg,,,
𥭒,竹囤 vd,竹屯 vt, vk,竹囤vd,⺮ rs,tl,,,
𦪔,舟攵 vw,舟攵 vw,舟攵 vw,舟敦vd,舟攵 ih,te,,,
𦰭,艹屯 ct,艹屯 ct, cz,.cv｜艹屯ct,⺿辶 lu,ag,,,
𦼿,艹頓 cd,艹頁 cy,艹貝 cb,艹頓cd,⺿頁 lw,ag,,,
𧝗,亠衣 wy,亠衣 wy,亠衣 wy,衣敦yd｜敦衣dy,衣 gt,yb,,,
𧿗,足丶 zd,{犭}足 qz, pr,足丶zd,豕足 jp,qt,,,
𩔂,頁彖 yt,彑頁 hy, vb,.yh｜彖頁ty｜頁彖yt,彑頁 bw,xe,,,
𩞤,敦食 du,亠艮 wg, wl,食敦ud｜敦食du, gq,yb,,,
隋,阝月 eo,⻖月 eo,阝月 eo,阝月eo,阝⺝ tv,bd,阝月 eo,乛一 vh,阝一eh
隳,耳心 ex,⻖⺗ ex,阝⺗ ex,耳心ex｜⺗隋xs,阝⺗ th,bd,阝丶 ed,乛丶 vd,阝忄ex
駄,馬太 mt,馬太 mt,馬太 mt,馬太mt,馬丶 ni,cd,,一一 hh,
奪,大寸 dc,大寸 dc,大寸 dc,大寸dc,大寸 mk,dw,,一丶 hd,
墮,⻖土 et,⻖土 et,⻖土 et,土月to｜土隋ts,阝土 tg,bd,,乛土 vt,
柁,木宀 mb,木匕 mb,木匕 mb,木它mt,木匕 ev,sp,木匕 lb,木宀 mb,木宀mb
朶,乃木 nm,乃木 nm,𠄎木 nm,木乃mn,乃木 ve,es,,乛木 vm,
杕,木大 md,木大 md,木大 md,木大md,木大 em,sd,木大 ld,木一 mh,木大ml
沲,氵也 dy,氵也 dy,氵也 dy,氵也dy,氵也 ke,it,氵也 dy,氵丿 up,氵丿up
馱,馬大 md,馬大 md,馬大 md,馬大md,馬大 nm,cd,,一一 hh,
夛,彐夕 ex,彐夕 ex,禾口 ex,.ax｜.vx｜.xa,夕 bl,vq,,乛丶 vd,
陊,⻖夕 ex,⻖夕 ex,⻖夕 ex,阝多ed,阝夕 tl,bq,,乛丿 vp,
隓,⻖工 eg,⻖工 eg,⻖工 eg,阝左ez,阝工 tu,bd,,乛一 vh,
杝,木也 my,木也 my,木也 my,木也my,木也 ee,sb,,木乛 mv,
沰,氵石 du,氵石 du,氵石 du,氵石du,氵石 km,id,,氵一 uh,
敠,又又 yy,又又 yy,又又 yy,攴双pu｜攴叕pv｜又又yy,又攴 rh,cc,,乛丨 vs,
柂,木也 my,木也 my," ml,my",木也my,木也 ee,st,,木丿 mp,
鐸,金干 jg,金干 jg,金干 jg,金幸jx,金 zg,ql,,钅丨 js,
陏,⻖月 eo,⻖月 eo,⻖月 eo,阝有ey,阝⺝ tv,bd,,乛一 vh,
嚲,享單 xd,亠十 wu, wl,.dx｜享單xd,十 gn,yb,,丶口 dk,
墯,忄土 xt,忄土 xt,忄土 xt,土惰td,忄土 hg,nd,,忄土 xt,
敪,又攵 yw,又攵 yw,又攵 yw,.wu｜攵叕wv,又攵 rh,cc,,乛丿 vp,
缍,纟垂 si,纟士 st,纟垂 si,纟垂si,纟士 ig,xt,纟垂 si,纟丿 ip,纟丿ip
凙,冫干 dg,冫干 dg,冫干 dg,冫幸dx,冫 wg,ul,,丶丨 ds,
剫,广刂 gd,广刂 gd,广刂 gd,刂度dd,广刂 xp,ya,,丶丨 ds,
趓,土木 tm,土木 tm,土木 tm,走朵zd,走木 pe,fh,,土丿 tp,
鈬,金尺 ji,金尺 ji,金尺 ji,金尺ji,金㇏ zi,qn,,钅乛 jv,
㔍,竹刂 vd,竹刂 vd,竹刂 vd,刂算ds,⺮刂 rp,th,,,
㖼,口某 km,口木 km,口木 km,口某km,口木 de,ka,,,
㙐,土而 te,土而 te,土而 te,土耑td,土而 gl,fm,,,
㛆,女木 nm,女木 nm, nm,女朵nd,女木 be,ve,,,
㛊,女木 nm,女木 nm,女木 nm,女朵nd,女木 be,vm,,,
㣞,. xd,彳允 ry, ie,.xd,彳儿 wp,tw,,,
㥩,忄日 xo,忄日 xo,忄日 xo,心者xv,忄日 ho,nf,,,
㧷,扌口 fk,扌口 fk,扌口 fk,扌吞ft,扌口 ud,rg,,,
㻔,王垂 wi,𤣩士 wt,王垂 wi,王垂wi,王士 ng,gt,,,
㻧,𤣩木 wm,𤣩木 wm,王木 wm,王桀wj,王木 ne,gq,,,
䅜,禾垂 hi,禾士 ht,禾垂 hi,禾垂hi,禾士 xg,tt,,,
䍴,{羊}女 yn,{羊}女 yn,{羊}女 yn,羊委yw,⺶女 gb,ud,,,
䐾,. og,⺼干 og,⺼干 og,.og,月 vg,el,,,
䑨,舟也 vy,舟也 vy, vy,.vt,舟也 ie,te,,,
䒳,艹木 cm,艹木 cm,艹木 cm,艹朵cd,艹木 le,am,,,
䙃,衤月 po,衤月 po,衤月 po,衤月yo,衤⺝ tv,pu,,,
䙟,衤圍 yw,衤㐄 pf," pk,pl",衤圍yw,衤韋 tg,pu,,,
䙤,衤過 yg,衤口 pk, pz,衤過yg,衤辶 tu,pu,,,
䠤,足單 zd,𧾷十 zu, zl,足單zd,⻊十 pn,kh,,,
䤪,金木 jm,金木 jm,金木 jm,金朵jd,金木 ze,qm,,,
䤻,金月 jo,金月 jo,金月 jo,金月jo,金⺝ zv,qd,,,
䩔,革殳 gu,革殳 gu, gy,革殳gu,革殳 tr,af,,,
䩣,革余 gy,革朩 gm, gh,革余gy,革 tx,af,,,
䫂,頁多 yd,夕頁 xy,夕貝 xb,頁多yd,夕頁 lw,qq,,,
䯬,. gd,亠十 wu, wl,.gd,十 gn,yl,,,
䲊,魚隋 ys,魚月 yo, ao,魚隋ys,魚⺝ wv,qo,,,
刴,乃刂 nd,乃刂 nd,𠄎刂 nd,朵刂dd,乃刂 vp,es,,乛丨 vs,
喥,󰃏󰃫󰂊󰂘 ky,口又 ky,口又 ky,口度kd,口又 dr,ky,口又 ky,口丶 kd,
嚉,口寸 kc,口寸 kc,口寸 kc,口對kd,口寸 dk,ko,,口丨 ks,
垜,土木 tm,土木 tm,土木 tm,土朵td,土木 ge,fe,,土乛 tv,
媠,女月 no,女月 no,女月 no,女月no｜.ny,女⺝ bv,vd,,女一 nh,
尮,尢木 ym,尢木 ym,尢木 ym,尤朵yd,尢木 oe,dn,,一木 hm,
崜,山垂 ui,山士 ut, ei,山垂ui,山士 vg,mt,,丨丿 sp,
憜,忄月 xo,忄月 xo,土革 xo,心隋xs,忄⺝ hv,nb,,忄乛 xv,
挅,扌木 fm,扌木 fm,扌木 fm,扌朵fd,扌木 ue,re,,扌乛 fv,
挆,扌木 fm,扌木 fm,扌木 fm,扌朵fd,扌木 ue,rm,,扌丿 fp,
柮,木出 mi,木出 mi,木出 mi,木出mi,木凵 em,sb,,木乛 mv,
桗,木木 mm,木木 mm,木木 mm,木朵md,木木 ee,se,,木乛 mv,
毲,又毛 ym,又毛 ym,㕛毛 ym,.mu｜毛叕mv,又毛 rv,cc,,乛丿 vp,
畓,水田 ut,水田 ut,水田 ut,水田ut,水田 kq,il,,氵一 uh,
痥,疒兑 bd,疒兄 bx, be,疒兑bd,疒儿 ap,uu,,丶乛 dv,
綞,糸垂 si,糹士 st, yi,糸垂si,糹士 ig,xt,,纟丿 ip,
跥,𧾷木 zm,𧾷木 zm,𧾷木 zm,足朵zd,⻊木 pe,kh,,⻊乛 zv,
躱,身木 um,身木 um, um,身朵ud,身木 ze,tm,,丿乛 pv,
軃,身單 ud,身十 uu, ul,身單ud,身十 zn,tm,,丿口 pk,
飿,飠出 ui,飠出 ui,半𠄎 ri,飠出ui,飠凵 qm,"wp,wy",,人乛 rv,
鬌,髟月 io,E月 eo, ao,髟月io,镸⺝ pv,de,,一月 hy,
鵽,又鳥 yn,又鳥 yn,㕛鳥 yn,.nu｜鳥叕nv,又鳥 rx,cc,,乛丿 vp,
𠛫,夕刂 xd,夕刂 xd,夕刂 xd,多刂dd,夕刂 lp,qq,,,
𡌭,又土 yt,又土 yt,㕛土 yt,土叕tv｜叕土vt,又土 rg,cc,,,
𡓉,飠土 ut,飠土 ut,扌丰 rt,土有ty｜飠土ut,土 qg,wy,,,
𡓷,. st,飠土 ut,手口 rt,.st,飠土 qg,wy,,,
𡶲,山朵 ud,山木 um,扌心 em,山朵ud,山木 ve,me,,,
𡺇,. ud,山㠯 ul, ek,.ud,山㠯 vk,mb,,,
𢜬,忄又 xy,忄又 xy,忄又 xy,忄度xd,忄又 hr,ny,,,
𢳽,扌又 fy,扌又 fy,扌又 fy,扌双fu,扌又 ur,rt,,,
𢼠,八攵 bw,八攵 bw,八攵 bw,.wb,八攵 hh,wn,,,
𢿎,白又 by,白又 by,白又 by,.wg｜白攴bp｜.py,白攴 uh,rf,,,
𣑧,土木 tm,刃土 rt,土木 tm,土木tm,土木 ge,fv,,,
𣧷,歹木 dm,歹木 dm,歹木 dm,歹朵dd,歹木 ge,gq,,,
𣵺,氵也 dy,氵也 dy,氵也 dy,.dt,氵也 ke,ib,,,
𣵻,氵匕 db,氵匕 db,氵匕 db,氵陀dt,氵匕 kv,ib,,,
𤋨,火丑 hi,火丑 hi,火丑 hi,火丑hi,火土 cg,od,,,
𤌃,火月 ho,火月 ho,半𠄎 ho,火月ho,火⺼ cv,od,,,
𤛛,牜⺝ no,牜⺝ no,牜⺝ no,牛脩nx,牜⺝ qv,tr,,,
𤢕,罒犬 sq,⺫犬 sq,⺫犬 sq,.qg｜犬幸qx｜罒犬sq,罒犬 ym,lf,,,
𤤸,𤣩木 wm,𤣩木 wm,王木 wm,王朵wd,王木 ne,gm,,,
𤬾,𠘧瓦 jw,𠘧瓦 jw,几瓦 jw,瓦朵wd｜朵瓦dw,几瓦 or,ms,,,
𥞛,禾木 hm,禾木 hm,禾木 hm,禾朵hd,禾木 xe,tm,,,
𥬲,竹木 vm,竹木 vm,竹木 vm,竹朵vd,⺮木 re,tm,,,
𥳔,竹月 vo,竹月 vo,竹月 vo,𥫗隋vs,⺮⺼ rv,tb,,,
𥿰,糸朵 sd,糹木 sm, ym,糸朵sd,糹木 ie,xe,,,
𦍦,羊出 yi,羊出 yi,羊出 yi,羊出yi,⺶凵 gm,ud,,,
𦕰,耳木 em,耳木 em, em,耳朵ed,耳木 qe,bm,,,
𦖋,耳垂 ei,耳士 et, ei,耳垂ei,耳士 qg,bt,,,
𧊱,虫木 im,虫木 im,虫木 im,虫朵id,虫木 ce,je,,,
𧙤,衤木 pm,衤木 pm,衤木 pm,衤朵yd,衤木 te,pu,,,
𧢵,. jk,⺈丂 dk, dv,.jk,⺈ㄅ xa,qe,,,
𧧇,言朵 yd,訁木 ym, wm,言朵yd,言木 se,ye,,,
𧩧,言度 yd,訁又 yy, wy,言度yd,言又 sr,yy,,,
𧱫,豕月 uo,豕月 uo,豕月 uo,豕月uo,豕⺼ jv,ed,,,
𨀟,足七 zq,𧾷七 zq,𧾷七 zq,足七zq,⻊七 pr,kh,,,
𨆅,𧾷干 zg,𧾷干 zg,𧾷干 zg,足幸zx,⻊ pg,kh,,,
𨉡,身垂 ui,身士 ut,⺧己 ui,身垂ui,身士 zg,tm,,,
𨦃,金木 jm,金木 jm,金木 jm,金朵jd,金木 ze,qm,,,
𨲉,镸垂 ii,E士 et, ai,镸垂ii,镸士 pg,dt,,,
𨹃,⻖木 em,⻖木 em,⻖木 em,阝朵ed,阝木 te,be,,,
𩃒,雨垂 yi,雨士 yt,雨垂 yi,雨垂yi,士 tg,ft,,,
𩊜,革木 gm,革木 gm,革木 gm,革朵gd,革木 te,af,,,
𩍜,. gg,革干 gg,革干 gg,.gg｜革幸gx,革 tg,af,,,
𩎫,韋朵 wd,𫝀木 wm, vm,韋朵wd,韋木 ge,nh,,,
𩑒,頁七 yq,丿頁 py, pb,.yv｜頁七yq,丿頁 tw,ta,,,
𩢎,馬出 mi,馬出 mi,馬出 mi,馬出mi,馬凵 nm,cb,,,
𩬻,髟朵 id,E木 em,巾方 am,髟朵id,镸木 pe,de,,,
𩿩,出鳥 in,出鳥 in,出鳥 in,鳥出ni｜出鳥in,屮鳥 sx,bm,,,
𪃒,广鳥 gn,广鳥 gn,广鳥 gn,鳥度nd｜度鳥dn,广鳥 xx,ya,,,
𪘉,止木 vm,止木 vm,止木 vm,齒朵id,齒木 le,hb,,,
噁,口心 kx,口心 kx,口心 kx,口惡ke,口心 dh,kg,,口一 kh,
阏,门丶 md,门⺀ md,门丶 md,门於my,门⺀ aw,uy,门丶 md,丶丶 dd,门丶md
訛,言化 yh,訁𠤎 yb, wb,言化yh,言 sv,yw,,讠人 ar,
悪,. xy,亜心 yx, ax,.xy,一心 fh,gk,,一忄 hx,
惡,亞心 yx,亞心 yx,亞心 yx,心亞xy,一心 fh,"gf,gh",,一忄 hx,
餓,飠我 uw,飠我 uw, rw,飠我uw,飠戈 qp,"wp,wy",,人丿 rp,
搕,扌皿 fm,扌皿 fm, fm,扌盍fh｜扌皿fm,扌皿 ua,rf,,扌土 ft,
囮,囗𠤎 kb,囗𠤎 kb,囗𠤎 kb,囗化kh,囗 rv,lw,,丨一 kh,
額,頁客 yk,宀頁 by, bb,頁客yk,宀頁 ww,pt,,宀一 bh,
歺,卜夕 bx,⺊夕 bx, lx,卜夕bx｜夕卜xb,歺 gd,hq,,丨丶 sd,
鵝,我鳥 wn,我鳥 wn,我鳥 wn,鳥我nw,丿鳥 tx,tr,,丿丿 pp,
阨,⻖㔾 ev,⻖㔾 ev,⻖㔾 ev,耳厄ee,阝⺋ tz,bd,,乛一 vh,
阸,⻖乙 ev,⻖乙 ev,⻖乙 ev,.ea｜阝乙ey,阝乙 ta,by,,乛丶 vd,
譌,言爲 yw,訁爲 yw, wh,言爲yw,言灬 sc,ye,,讠丿 ap,
咢,口亏 kk,口丂 kk,口亏 kk,口亏kk,口ㄅ da,kk,,口乛 kv,
鱷,魚噩 ye,魚噩 ye, ak,魚噩ye,魚口 wd,qo,,丿王 pw,
戹,户乙 hv,户乙 hv,扌丰 hv,户乙hy,户乙 ma,yn,,丶乛 dv,
頟,頁各 yg,夂頁 wy, wb,頁各yg,各頁 sw,tk,,丿一 ph,
顎,頁咢 ye,口頁 ky,口貝 kb,頁咢ye,口頁 dw,kk,,口一 kh,
搤,扌皿 fm,扌皿 fm,扌皿 fm,扌益fy,扌皿 ua,ru,,扌丶 fd,
砐,石及 uj,石及 uj,石及 uj,石及uj,石及 mc,de,,一丿 hp,
迗,辶天 zt,辶天 zt,辶天 zt,辶天zt,一辶 fu,gd,,一辶 hz,
峩,山我 uw,山我 uw, ew,山我uw,山戈 vp,mt,,丨丶 sd,
痾,疒可 bk,疒可 bk,疒可 bk,疒阿ba,疒可 az,ub,,丶丨 ds,
堮,土口 tk,土丂 tk,土亏 tk,.te,土ㄅ ga,fk,,土口 tk,
珴,王我 ww,𤣩我 ww,王我 ww,王我ww,王戈 np,gt,,王丿 wp,
鰐,. ye,魚丂 yk,手口 ak,.ye,魚ㄅ wa,qo,,丿口 pk,
鍔,钅口 jk,金丂 jk,金亏 jk,金咢je,金ㄅ za,qk,,钅口 jk,
齶,止丂 vk,止丂 vk,止丂 vk,齒咢ie,齒ㄅ la,"hb,hw",,丨口 sk,
皒,白我 bw,白我 bw,白我 bw,白我bw,白戈 up,rt,,丿丿 pp,
鶚,口鳥 kn,口鳥 kn,口鳥 kn,鳥咢ne,口鳥 dx,kk,,口丿 kp,
蕚,艹亏 ck,艹丂 ck,艹亏 ck,艹咢ce｜艹亏ck,艹ㄅ la,ak,,艹乛 cv,
軶,車乙 iv,車乙 iv,車乙 iv,.ia｜車乙iy,車乙 ya,ly,,一丶 hd,
遌,辶丂 zk,辶丂 zk,辶丂 zk,.ze,口辶 du,kk,,口辶 kz,
騀,馬我 mw,馬我 mw,馬我 mw,馬我mw,馬戈 np,ct,,一丿 hp,
鵞,我鳥 wn,我鳥 wn,我鳥 wn,鳥我nw,丿鳥 tx,tr,,丿丶 pd,
吪,口𠤎 kb,口𠤎 kb,扌心 kb,口化kh,口 dv,kw,,口人 kr,
湂,氵丂 dk,氵丂 dk,氵丂 dk,.de,氵ㄅ ka,ik,,氵口 uk,
鈋,金𠤎 jb,金𠤎 jb,金𠤎 jb,金化jh,金 zv,qw,,钅人 jr,
鈪,金㔾 jv,金㔾 jv,金㔾 jv,金厄je,金⺋ zz,qd,,钅一 jh,
鋨,金我 jw,金我 jw,金我 jw,金我jw,金戈 zp,qt,,钅丿 jp,
鑩,金噩 je,金噩 je, jk,金噩je,金口 zd,qg,,钅王 jw,
㓵,口刂 kd,口刂 kd,口刂 kd,.de,口刂 dp,kk,,,
㔩,勹皿 bm,勹皿 bm,勹皿 bm,.gg,勹皿 na,qf,,,
㕎,厂皿 im,厂皿 im,厂皿 im,.ig,厂皿 xa,df,,,
㖾,. ln,口屰 kn,口屰 kp,.ln,口 ds,kk,,,
㗁,󰃏󰃏󰃏󰁔 kk,口丂 kk,口亏 kk,.ke,口ㄅ da,kk,,,
㟧,. ue,山丂 uk,口土 ek,.ue,山ㄅ va,mk,,,
㠋,. yx,山丂 uk, ek,.ux｜.yx,山ㄅ va,mk,,,
㡋,巾电 jd,巾电 jd,巾电 jd,巾奄jy,巾乚 ra,mh,,,
㦍,. xe,忄屰 xn,忄屰 xp,.xe,忄 hs,nk,,,
㧖,扌乙 fv,扌乙 fv, fv,扌乙fy,扌乙 ua,ry,,,
㩵,扌犬 fq,扌犬 fq, fq,扌獻fx,扌犬 um,rh,,,
㮙,木丂 mk,木丂 mk,木亏 mk,.me,木ㄅ ea,sk,,,
㱦,歹可 dk,歹可 dk,歹口 dk,歹奇dq,歹可 gz,gq,,,
㷈,火电 hd,火电 hd,火电 hd,火奄hy,火乚 ca,od,,,
㼂,. yy,𦥑玉 jy,口土 py,.yy,丶 pi,wf,,,
㼢,臣瓦 iw,𦣞瓦 iw, kw,瓦臣wi｜臣瓦iw,瓦 qr,ah,,,
㼰,{卑上}瓦 pw,{卑上}瓦 pw,馬刂 pw,瓦卑wb,白瓦 ur,rt,,,
䄉,礻我 pw,礻我 pw, pw,示我uw,礻戈 fp,py,,,
䆓,穴允 xy,宀允 by,土又 be,穴允xy,穴儿 ep,pw,,,
䑥,舟及 vj,舟及 vj,宀貝 vj,舟及vj,舟及 ic,te,,,
䑪,舟口 vk,舟口 vk,宀貝 vk,舟合vh,舟口 id,te,,,
䓊,艹口 ck,艹口 ck,艹口 ck,艹吾cw,艹口 ld,ag,,,
䔾,艹揭 cj,艹人 cr, cv,艹揭cj,艹亾 lf,ar,,,
䕏,艹我 cw,艹我 cw,艹我 cw,艹義cy,艹戈 lp,au,,,
䖸,我虫 wi,我虫 wi,我虫 wi,虫我iw,丿虫 tc,tr,,,
䙳,覀火 xh,覀火 xh, xh,覀火xh,覀火 vc,so,,,
䛖,言曳 yy,訁曳 yy,女木 wy,言曳yy,言丿 st,yj,,,
䝈,豕卮 uv,豕㔾 uv, uv,.ue｜豕卮uv,豕⺋ jz,er,,,
䞩,土口 tk,土口 tk,土口 tk,走合zh,走口 pd,fh,,,
䣞,口⻏ ke,口⻏ ke,匕馬 ke,.ee,口阝 dt,kk,,,
䩹,革鬲 gg,革鬲 gg,革鬲 gl,革鬲gg,革鬲 tn,af,,,
䫷,頁噩 ye,噩頁 ey,宀缶 wb,頁噩ye,王頁 nw,gk,,,
䱮,魚契 yq,魚大 yd, ad,魚契yq,魚大 wm,qo,,,
䳗,鳥我 nw,鳥我 nw,鳥我 nw,鳥我nw,鳥戈 xp,wv,,,
䳘,鳥我 nw,鳥我 nw,鳥我 nw,鳥我nw,鳥戈 xp,wv,,,
䳬,革鳥 gn,革鳥 gn,革鳥 gn,鳥革ng,革鳥 tx,af,,,
偔,人口 rk,亻丂 rk,亻亏 rk,.re,亻ㄅ ja,wk,,人口 rk,
僫,亻心 rx,亻心 rx,亻心 rx,亻惡re,亻心 jh,wg,,人一 rh,
匎,勹电 bd,勹电 bd,勹电 bd,.gd｜勹奄gy,勹乚 na,qd,,丿乛 pv,
卾,口卩 ke,口卩 ke,日米 ke,.ee,口卩 dz,kk,,口乛 kv,
呝,口乙 kv,口乙 kv,片毛 kv,口乙ky,口乙 da,ky,,口丶 kd,
